电影名,导演,评分,评价人数,评价
肖申克的救赎,"
                            导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...",9.7,2684590人评价,希望让人自由。
霸王别姬,"
                            1994 / 美国 / 犯罪 剧情
                        ",9.6,1991370人评价,风华绝代。
阿甘正传,"
                            导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...",9.5,2015987人评价,一部美国近现代史。
泰坦尼克号,"
                            1993 / 中国大陆 中国香港 / 剧情 爱情 同性
                        ",9.4,1975073人评价,失去的才是永恒的。 
这个杀手不太冷,"
                            导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...",9.4,2159774人评价,怪蜀黍和小萝莉不得不说的故事。
美丽人生,"
                            1994 / 美国 / 剧情 爱情
                        ",9.6,1237708人评价,最美的谎言。
千与千寻,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...",9.4,2092190人评价,最好的宫崎骏，最好的久石让。 
辛德勒的名单,"
                            1997 / 美国 墨西哥 澳大利亚 加拿大 / 剧情 爱情 灾难
                        ",9.6,1032631人评价,拯救一个人，就是拯救整个世界。
盗梦空间,"
                            导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...",9.4,1929022人评价,诺兰给了我们一场无法盗取的梦。
星际穿越,"
                            1994 / 法国 美国 / 剧情 动作 犯罪
                        ",9.4,1631239人评价,爱是一种力量，让我们超越时空感知它的存在。
忠犬八公的故事,"
                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...",9.4,1316325人评价,永远都不能忘记你所爱的人。
楚门的世界,"
                            1997 / 意大利 / 剧情 喜剧 爱情 战争
                        ",9.3,1550518人评价,如果再也不能见到你，祝你早安，午安，晚安。
海上钢琴师,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...",9.3,1570996人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞,"
                            2001 / 日本 / 剧情 动画 奇幻
                        ",9.2,1747357人评价,英俊版憨豆，高情商版谢耳朵。
机器人总动员,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...",9.3,1235198人评价,小瓦力，大人生。
放牛班的春天,"
                            1993 / 美国 / 剧情 历史 战争
                        ",9.3,1218692人评价,天籁一般的童声，是最接近上帝的存在。 
无间道,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...",9.3,1249158人评价,香港电影史上永不过时的杰作。
疯狂动物城,"
                            2010 / 美国 英国 / 剧情 科幻 悬疑 冒险
                        ",9.2,1773011人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
大话西游之大圣娶亲,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...",9.2,1433183人评价,一生所爱。
熔炉,"
                            2014 / 美国 英国 加拿大 / 剧情 科幻 冒险
                        ",9.3,872335人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
控方证人,"
                            导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...",9.6,485173人评价,比利·怀德满分作品。
教父,"
                            2009 / 美国 英国 / 剧情
                        ",9.3,893316人评价,千万不要记恨你的对手，这样会让你失去理智。
当幸福来敲门,"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...",9.2,1422814人评价,平民励志片。 
触不可及,"
                            1998 / 美国 / 剧情 科幻
                        ",9.3,1008273人评价,满满温情的高雅喜剧。
怦然心动,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...",9.1,1709788人评价,真正的幸福是来自内心深处。
龙猫,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...",9.2,1182221人评价,人人心中都有个龙猫，童年就永远不会消失。
末代皇帝,"
                            1988 / 日本 / 动画 奇幻 冒险
                        ",9.3,802904人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
寻梦环游记,"
                            导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...",9.1,1531847人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
蝙蝠侠：黑暗骑士,"
                            1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史
                        ",9.2,986489人评价,无尽的黑暗。
